Qty,Value,Device,Package,Parts,Description,DIGIKEY#,MANF,MANF#,MF,MOUSER#,MPN,OC_NEWARK,PROD_ID,VALUE
1,,LEDCHIPLED_0805,CHIPLED_0805,LED2,LED,475-1196-1-ND,,,,,,unknown,,
1,,M05X2PTH,AVR_ICSP,J2,Header 5x2,S6105-ND,,,,,,,,
9,0.1uF,CAP0805,805,C3,,311-1088-1-ND,,,,,,,,
1,1.5K,RESISTOR0805-RES,805,R3,Resistor,YAG1814CT-ND,,,,,,,,
1,100,RESISTOR0805-RES,805,R20,Resistor,311-100CRCT-ND,,,,,,,,
1,100K,RESISTOR0805-RES,805,R19,Resistor,311-100KCRCT-ND,,,,,,,,
1,100K,RESISTOR0805-RES,805,R8,Resistor,541-82.0CCT-ND,,,,,,,,
1,100pF,CAP0805,805,C2,Capacitor,311-1111-1-ND,,,,,,,,
5,10K,RESISTOR0805-RES,805,R1,,311-10KARCT-ND,,,,,,,,
1,16MHZ,RESONATOR16MHZ,RESONATOR-SMD,Y1,Resonator,490-1198-1-ND,,,,,,unknown,XTAL-08900,16MHZ
1,1uF,CAP0805,805,C9,Capacitor,311-1365-1-ND,,,,,,,,
1,22K,RESISTOR0805-RES,805,R16,Resistor,311-22KARCT-ND,,,,,,unknown,,
1,4.7uF,CAP0805,805,C8,Capacitor,311-1871-1-ND,,,,,,,,
1,47,RESISTOR0805-RES,805,R4,Resistor,311-47ARCT-ND,,,,,,unknown,,
1,47K,RESISTOR0805-RES,805,R14,Resistor,RHM47KKCT-ND,,,,,,unknown,,
1,51,RESISTOR0805-RES,805,R17,Resistor,RHM51KCT-ND,,,,,,,,
2,82,RESISTOR0805-RES,805,R15,,541-82.0CCT-ND,,,,,,,,
1,ADMP401,ADMP401,ADMP401,U6,Omnidirection bottom-port MEMS microphone,INMP401ACEZ-R7CT-ND,,,,,,,,
1,ATMEGA328P,ATMEGA328P_TQFP,TQFP32-08,U1,,ATMEGA328P-AU-ND,,,,,ATMEGA328PB-AU,58Y6083,IC-09069,ATMEGA328P_TQFP
1,IAQ-CORE,IAQ-CORE,IAQ-CORE,IAQ-CORE,,IAQ-CORE C-ND,,,,,IAQ CORE,82Y5455,,
1,MPL115A,MPL115A,LGA8,U4,MPL115A1 (SPI) and MPL115A2 (I2C) Miniature Digital Barometer,MPL115A2-ND,,,,,,,,
1,OPA344,OPA344,SOT23-5,U3,Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.,296-41475-1-ND,,,,,,,IC-08251,
1,RASPBERRYPI_BPLUS_HATSLOTS,RASPBERRYPI_BPLUS_HATSLOTS,PI_HAT_SLOTS,RPI1,,,,,,,,,,
1,SHT31-DIS,SHT31-DIS,SHT3X,U7,,1649-1011-1-ND,,,,,SHT31-DIS-B,47Y1304,,
1,SPARKFUN-DISCRETESEMI_MOSFET-NCHANNELBSS138,SPARKFUN-DISCRETESEMI_MOSFET-NCHANNELBSS138,SPARKFUN-DISCRETESEMI_SOT23-3,MOSFET,Common NMOSFET Parts,BSS138-FDICT-ND,,,,,,,TRANS-00830,
1,SPARKFUN-SENSORS_MICS-4514,SPARKFUN-SENSORS_MICS-4514,SPARKFUN-SENSORS_MICS_10-SMD,MICS4514,Metal oxide MEMS carbon monoxide (CO) and NOx sensor in an SMD package.,,,,,,,,COMP-12310,
1,TAC_SWITCHSMD,TAC_SWITCHSMD,TACTILE-SWITCH-SMD,RESET,Momentary Switch,CKN9104CT-ND,,,,,,,SWCH-08247,TAC_SWITCHSMD
1,TSL2561,TSL2561FN,FN-6,U2,TSL2561 illumination sensor,TSL2561-FNCT-ND,AMS-TAOS-USA-Inc.,TSL2561FN,,856-TSL2561T,TSL2561FN,82Y5564,IC-11791,
