Qty,Value,Device,Package,Parts,DIGIKEY#,MANF,MANF#,MF,MOUSER#,MPN,OC_NEWARK,PROD_ID,VALUE,Description
1,1.5K,RESISTOR0805-RES,805,R3,YAG1814CT-ND,Yageo,RT0805BRD071K5L,,603-RT0805BRD071K5L,RT0805BRD071K5L,unknown,,,Resistor
1,100,RESISTOR0805-RES,805,R20,311-100CRCT-NDÊ,,RC0805FR-07100RL,,603-RC0805FR-07100RL,RC0805FR-07100RL,unknown,,,Resistor
1,100pF,CAP0805,805,C2,311-1111-1-ND,,CC0805JRNPO9BN101,,603-CC805JRNPO9BN101,CC0805JRNPO9BN101,unknown,,,Capacitor
1,10K,RESISTOR0805-RES,805,R13,311-10KARCT-ND,Yageo,RC0805JR-0710KL,,603-RC0805JR-0710KL,RC0805JR-0710KL,,,,Resistor
1,16MHZ,RESONATOR16MHZ,RESONATOR-SMD,Y1,490-1198-1-ND,,CSTCE16M0V53-R0,,81-CSTCE16M0V53-R0,CSTCE16M0V53-R0,unknown,XTAL-08900,16MHZ,Resonator
1,22K,RESISTOR0805-RES,805,R16,311-22KARCT-NDÊ,,RC0805JR-0722KL,,603-RC0805JR-0722KL,RC0805JR-0722KL,unknown,,,Resistor
1,4.7uF,CAP0805,805,C8,311-1871-1-ND,,CC0805KKX5R8BB475,,603-CC805KKX5R8BB475,CC0805KKX5R8BB475,unknown,,,Capacitor
1,47K,RESISTOR0805-RES,805,R14,RHM47KKCT-ND,Rohm Semiconductor,ESR10EZPJ473,,755-ESR10EZPJ473,ESR10EZPJ473,unknown,,,Resistor
1,51,RESISTOR0805-RES,805,R17,RHM51KCT-ND,Rohm Semiconductor,ESR10EZPJ510,,755-ESR10EZPJ510,ESR10EZPJ510,unknown,,,Resistor
1,ADMP401,ADMP401,ADMP401,U6,INMP401ACEZ-R7CT-ND,,INMP401ACEZ-R7,,N/A,INMP401ACEZ-R7,,,,Omnidirection bottom-port MEMS microphone
1,ATMEGA328P,ATMEGA328P_TQFP,TQFP32-08,U1,ATMEGA328P-AU-ND,Atmel,ATMEGA328P-AU,,556-ATMEGA328P-AU,ATMEGA328P-AU,58Y6083,IC-09069,ATMEGA328P_TQFP,
1,FT231XS,FT231XS,SSOP20_L,U5,768-1129-1-ND,FTDI,FT231XS-R,,895-FT231XS-R,FT231XS-R,,IC-11524,FT231XS,FTDI FT231X Full Speed USB to Full-handshake UART
1,IAQ-CORE,IAQ-CORE,IAQ-CORE,IAQ-CORE,IAQ-CORE C-ND,ams,IAQ-CORE C,,985-IAQ-COREC,IAQ-CORE C,82Y5455,,,
1,MPL115A,MPL115A,LGA8,U4,MPL115A2-ND,Freescale Semiconductor - NXP,MPL115A2,,841-MPL115A2,MPL115A2,,,,MPL115A1 (SPI) and MPL115A2 (I2C) Miniature Digital Barometer
1,OPA344,OPA344,SOT23-5,U$3,296-41475-1-ND,Texas Instruments,OPA344NA/3K,,595-OPA344NA/3K,OPA344NA/3K,,IC-08251,,Single gate rail-to-rail output op-amp. Inputs extend 300mV past rails.
,,,,,,,,,,,,,,
