Qty,Value,Device,Package,Parts,Description,MPN
1,,LEDCHIPLED_0805,CHIPLED_0805,LED2,LED,LTST-C170TBKT
1,,M05X2PTH,AVR_ICSP,J2,Header 5x2,
1,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,X1,SMA Connector,WRL-00593
9,0.1uF,CAP0805,805,C2- C3- C4- C7- C8- C10- C11- C12- C15,Capacitor,CC0603KRX7R7BB104
1,100K,RESISTOR0805-RES,805,R2,Resistor,311-100KCRCT-ND
3,10K,RESISTOR0805-RES,805,R5- R6- R13,Resistor,RC0805JR-0710KL
1,10uF,CAP0805,805,C9,Capacitor,CC0805ZKY5V6BB106
1,16MHZ,RESONATOR16MHZ,RESONATOR-SMD,Y1,Resonator,CSTCE16M0V53-R0
1,1K,RESISTOR0805-RES,805,R3,Resistor,RC0805JR-071KL
3,1uF,CAP0805,805,C1- C5- C6,Capacitor,CC0805KKX7R7BB105
2,27,RESISTOR0805-RES,805,R12- R21,Resistor,RC0805FR-0727RL
1,3SP_CO,3SP_CO,3SP_CO_PIN_PACKAGE,U$2,Spec sensors - CO - Carbon Monoxide Sensor 1000 ppm Pinned Package,3SP CO
3,47,RESISTOR0805-RES,805,R4- R9- R10,Resistor,RC0805JR-0747RL
1,49.9,RESISTOR0805-RES,805,R1,Resistor,RC0805FR-0749R9L
1,ATMEGA328P-MU,ATMEGA328P-MU,QFN50P500X500X100-33N,U3,ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - QFN-32,ATMEGA328P-MU
1,BMP280,BMP280,BMP280,IC1,The BMP280 is an absolute barometric pressure sensor especially designed for mobile applications. The sensor module is housed in an extremely compact 8-pin metal-lid LGA package with a footprint of only 2.0 ля 2.5 mm2 and 0.95 mm package height. Its small,BMP280
1,CCS811,CCS811-I2C,LGA,U10,,CCS811
1,FT231XQ-R,FT231XQ-R,FTDI_FT231XQ-R_PACKAGE,U$1,This is the 20-LD QFN package of the FTDI FT231XQ-R chip.,FT231XQ-R
1,Green,LEDCHIPLED_0805,CHIPLED_0805,RX,LED,LTST-C170TBKT
1,LMP91000,LMP91000_NHL_14,SDA14B,U1,,LMP91000
1,MCP1703/3.3V,MCP1703CB,SOT23,U8,250 mA- 16V- Low Quiescent Current LDO Regulator,MCP1703T-2502E/CB
1,RFM69HW,LOWPOWERLAB_RFM69,LOWPOWERLAB_RFM69W-MINPADS,U11,,RFM69HW
1,Red,LEDCHIPLED_0805,CHIPLED_0805,TX,LED,LTST-C170TBKT
1,SHOTTKY,RESISTOR0805-RES,805,R11,Resistor,SD0805S020S0R5
1,SHT31,SHT31-DIS,SHT3X,U7,,SHT31-DIS-B
1,TSL2561,TSL2561FN,FN-6,U2,TSL2561 illumination sensor,TSL2561FN
1,USB-MICROB,USB-MICROB,USB-MICROB,J3,USB Connectors,CONN-09505
1,VREF,ISL60002DIH320ZCB,SOT23,IC2,ISL60002DIH320Z,ISL60002DIH320ZCB
